"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","联系方式备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间","商品id","分阶段订单信息","备注标签","商家备注","主订单买家留言","发货时间","物流单号","物流公司","是否赔付","赔付金额","赔付出账时间"
="3630256347190217658",="3630256347190217658","【老板娘美林】慕江南-丝巾-羊出没、新芽、工业时代、","9999.00","1","MJN742蓝色","颜色分类：蓝色[100羊毛]","null","null","交易成功","MJN742蓝色",="2023111422001181061426325417","99.00","99.00","没有申请退款","无退款申请","2023-11-14 12:50:58","2023-11-14 12:51:08",="748701165678","null","null","","null","2023-11-15 13:45:27","No:773255412577475","申通快递","否","null","null"
="3630247851892503160",="3630247851892503160","【老板娘美林】慕江南-加绒云朵裤","9999.00","1","K008黑色R+K008黑色R","颜色分类：黑色*2;尺寸：2XL[130-150斤]","null","null","交易关闭","K008黑色R+K008黑色R",="2023111422001191591410860376","179.00","179.00","退款成功","179.00","2023-11-14 12:50:53","2023-11-14 12:51:02",="747924024263","null","null","","null","null","null","null","否","null","null"
="3630107234315339923",="3630107234315339923","【老板娘美林】慕江南-围巾-纺织水滴","9999.00","1","HSQF2005深蓝X","颜色分类：深蓝[【65*65cm】预10-15天]","null","null","交易成功","HSQF2005深蓝X",="2023111422001188971417717004","168.00","168.00","没有申请退款","无退款申请","2023-11-14 12:50:13","2023-11-14 12:50:29",="748114998729","null","null","","null","2023-11-15 16:36:08","No:773255463762289","申通快递","否","null","null"
="3629991637379163115",="3629991637379163115","【老板娘美林】慕江南-袜子-羊绒袜","9999.00","1","HZQS001男款Z","颜色分类：男袜[适合39-45鞋码];尺码：无规格","null","null","交易关闭","HZQS001男款Z",="2023111422001172601422885021","69.00","69.00","退款成功","69.00","2023-11-14 12:50:06","2023-11-14 12:50:18",="748197775574","null","null","","null","null","null","null","否","null","null"
="2018779789176542897",="2018779789176542897","【老板娘美林&羊绒级的细度】长61  慕江南-针织衫-镇店级别","9999.00","1","S017墨M+T001原","颜色分类：墨绿;尺码：M[105-130斤胸66]","null","null","交易成功","S017墨M+T001原",="2023111422001138781453568728","299.00","299.00","没有申请退款","无退款申请","2023-11-14 12:49:56","2023-11-14 12:50:06",="748080690186","null","null","","null","2023-11-15 14:13:15","No:773255412499139","申通快递","否","null","null"
="2018125344939646378",="2018125344939646378","【老板娘美林】慕江南-围巾-飞马礼包","9999.00","1","C5001黑+C5002蓝+008银","颜色分类：飞马传说+双双+雪花胸针","null","null","交易关闭","C5001黑+C5002蓝+008银",="2023111422001107071424556368","68.00","68.00","退款成功","68.00","2023-11-14 12:49:43","2023-11-14 12:49:45",="747909092389","null","null","","null","null","null","null","否","null","null"
="2018503275414349595",="2018503275414349595","【老板娘美林】慕江南-围巾-飞马礼包","9999.00","1","C5001黑+C5002蓝+008银","颜色分类：飞马传说+双双+雪花胸针","null","null","交易成功","C5001黑+C5002蓝+008银",="2023111422001166781447843749","68.00","68.00","没有申请退款","无退款申请","2023-11-14 12:49:41","2023-11-14 12:49:48",="747909092389","null","null","","null","2023-11-16 09:56:41","No:773255435702265","申通快递","否","null","null"
="2018760062237300982",="2018760062237300982","【老板娘美林&慵懒版】长63  慕江南-徜徉在云朵","9999.00","1","Z006酒M+T001原","颜色分类：酒红;尺码：S/M[85-120斤胸116]","null","null","交易关闭","Z006酒M+T001原",="2023111422001148831406200741","990.00","990.00","退款成功","990.00","2023-11-14 12:49:36","2023-11-14 12:49:52",="748073794290","null","null","(收) HFQZ006酒红M*1#","null","2023-11-17 16:44:17","No:773255850782712","申通快递","否","null","null"
="2018503131440483481",="2018503131440483481","【老板娘美林】慕江南-丝巾-四边须大千鸟","9999.00","1","MJN033红色","颜色分类：红色","null","null","交易关闭","MJN033红色",="2023111422001142431437339055","159.00","159.00","退款成功","159.00","2023-11-14 12:49:26","2023-11-14 12:50:13",="748104822324","null","null","","null","null","null","null","否","null","null"
="3629987713701011864",="3629987713701011864","【老板娘美林】慕江南-围巾-纺织水滴","9999.00","1","HSQF2005深蓝X","颜色分类：深蓝[【65*65cm】预10-15天]","null","null","交易关闭","HSQF2005深蓝X",="2023111422001197711413379280","168.00","168.00","退款成功","168.00","2023-11-14 12:49:25","2023-11-14 12:49:35",="748114998729","null","null","","null","null","null","null","否","null","null"
="3630110654031119758",="3630110654031119758","【老板娘美林】慕江南-围巾-飞马礼包","9999.00","1","C5001黑+C5002蓝+008银","颜色分类：飞马传说+双双+雪花胸针","null","null","交易成功","C5001黑+C5002蓝+008银",="2023111422001180451458525171","68.00","68.00","没有申请退款","无退款申请","2023-11-14 12:49:19","2023-11-14 12:49:21",="747909092389","null","null","","null","2023-11-16 09:55:44","No:773255463762277","申通快递","否","null","null"
="3629984833822314008",="3629984833822314008","【老板娘美林】慕江南-围巾-飞马礼包","9999.00","1","C5001黑+C5002蓝+008银","颜色分类：飞马传说+双双+雪花胸针","null","null","交易关闭","C5001黑+C5002蓝+008银",="2023111422001178531442709763","68.00","68.00","退款成功","68.00","2023-11-14 12:49:09","2023-11-14 12:49:33",="747909092389","null","null","","null","null","null","null","否","null","null"
